Question,Option 1,Option 2,Option 3,Option 4,Answer
"Q;10 The output offollowing code is:
#include<stdio.h>
int main()
{ 
int i=0;
char a[10]=""structure"";
char b[20];
char *p=a;
for(i=0;i<=10;i++)
b[i]=*(p+i);
for(i=0;i<=10;i++)
printf(""%c"",b[i]);
 return 0;
}",garbage,structure,structure(garbage),(garbage)structure,2
"Wht will be he output of the following ?
#include<stdio.h>
struct calc
{
int a=10;
    int b=10;
};
struct calc cal;
int main()
{
int c;
c=cal.a+cal.b;
printf(""%d"",c);
 return 0;
}",garbage,10,error,20,4
"struct calc
{
int a;
char b[10];
}
struct calc cal[10];
The above declaration implies:","structure calc
 encompasses the array
  Cal[]","structure calc initializes
array cal[]","it defines a array and
 elements are structures",none of the above,3
"What will be printed ?
#include<conio.h>
#define mac
int main()
{
#ifdef macro
printf(""boy"");
#ifdef mac
printf(""child"");
#else 
printf("" man"");
#endif 
printf(""girl"");
#else
printf(""woman"");
#endif
printf(""lady"");
getch();
 return 0;
}",boychild,boyman,childgirl,womanlady,4
"what will be the output if input is given as ""hi hello"" 
#include<stdio.h>
int main()
{
char a[10];
scanf(""%s\n"",a);
printf(""%s"",a);
return 0;
}",hi hello(garbage),hello,hi,hi hello,3
"Whivh of the following lines contains error;
#include<stdio.h>
int main()
{
char a[10]=""hello"";
char *p=""hi"";
char b[12];
char *r;
p=a;
r=b;
b=r;
p=r;
a=b;
return 0;
}",8 and 10,9 and 11,10 and 12,Only 9,3
"If same input is given to both the pointer to char array(b)
 and char array(a),which of the following lines will
  generate similar output....
#include<stdio.h>
int main()
{
char a[4][4];
char *b[4];
printf(""%s"",a[1][1]);//line 6
printf(""%s"",&a[1][0]);
printf(""%s"",a[3][1]);
printf(""%s"",&a[3][2]);
printf(""%s"",a[2][0]);
printf(""%s"",b[2]);
printf(""%s"",b[1]);
printf(""%s"",b[3]);
printf(""%s"",b[0]);
printf(""%s"",b[4]);//line 15
return 0;
}",6 and 12,7 and 12,15 and 10,9 and 13,3
"wht will be the output of following C code:
#include<stdio.h>
struct A1
{
int a;
float b;
};
struct A1 e1={10,20};
struct A2
{
struct A1 e1;
int c;
}e2;
int main()
{
printf(""%u%\n%u\n"",&e2.e1.a,&e2.e1.b);
printf(""%u"",&e2.c);
return 0;
}","10
   20
   Garbage","address of a
  (address of b)+4
    (address of c)+4",garbage,"address of a
   (address of a)+4
   (address of a)+8",4
"how many times will the print statement be executed in
 the algorithm and how much is the time complexity?
for(i=0;i<=n;i++)
for(j=0;j<n-i+1;j++)
        print(""time"");","n+1 , 2n+2","(n+2)/2 , n+4","n(n+1) , (n+1)^2","(n+1)(n+2)/2, (n+1)(n+4)/2",4
"What will be the output?
#include<stdio.h>
int main()
{
int a=10,b=15;
printf(""%d\n%d%%\t\\"",a,b);
return 0;
}","10
  15%\","10
  15",syntax error,"10
  15%   \",4
"what will be the output
int funct(float,float);
#include<stdio.h>
 int main()
{
int b,c,f;
f=funct(b,c);
printf(""%5d"",f);
return 0;
}
int funct(float k,float j)
{
int b=10,c=10;
k=b+c;
j=b*c;
return j,k;
}",j+k,j,k,k-j,3
"Q.25 what will be the output?
#include<stdio.h>
int main()
{
    int c=100;
int b=19;
    printf(""%d%d"",'c+b','c');
return 0;
}",(ascii of c+ascii of b)99,"(ascii of c + ascii of b + 
ascii of ""+"")98",Garbage 99,(ascii of 119)99,3
"Q.26 what will be the output?
#include<stdio.h>
int main()
{
    int a=2,b=3,c=10;
while((a^b==1)||(a&b==01))
{printf(""correct"");
continue;
printf(""wrong"");}
return 0;
}",infinite loop,correct wrong,correctwrong,correct,1
"What will be the output
#include<stdio.h>
int main()
{
int a=5,b=4,c=3,d=4,i=0;
if(a^b==2&&c&d==0)
{
printf(""loop1 "");
goto loop2;
}
else
goto start;
for(i=0;i<=a;i++)
{
   loop2:
d++;
start:;
 }
printf(""%d"",d++);
return 0;
}",Loop1 6,None of these,Loop1 8,Loop1 7,2
"What will be the output?
#include<stdio.h>
int main()
{
    float a=5.1;
    double b=5.1;
int i=2,j=5;
for(;i<5;(a<b)?i++:--i)
{
printf(""%d%d\t"",i,j);
}
printf(""%d"",i);
return 0;
}",20 30 40 5,25 35 45 5,25 32 46 5,20 35 40 5,2
" what will be the output?
#include<stdio.h>
int addition(int,int);
int main()
{
int a=10,b=100,c;
c=addition(a,b);
printf(""%o"",c);
Return 0;
}
int addition(int x,int y)
{
int z;
z=x+++y;
return z;
}",100,110,156,121,3
"What will be the output?
#include<stdio.h>
int main()
{
char c;
char c1='char';
char c2='integer';
c=c1+c2;
printf(""%d"",c);
return 0;
}",charinteger,None of these,integer,char,2
"#include<bits/stdc++.h>
 using namespace std;
 #define test(x) (x*x)
 #define sq(x) ((x)*(x))
 int main()
 {
 int i=3;
 cout<<test(sq(++i + ++i + ++i)+2)<<endl;
 return 0;
 }",3326,3134,2594,None,1
"#include <stdio.h>
#define f(x) (((x>>31)^x) - (x>>31))
int main()
{
        int a=10, b=-9, c=100, d=1000, e=-1200;
        printf(""%d\t%d\t%d\t%d\t%d\n"", f(a),f(b),f(c),f(d),f(e));
        return 0;
}
",10	9	100	1000	1200,10	-9	100	1000	-1200,-10	-9	-100	-1000	-1200,10	-10	100	1000	-1201,1
"#include <stdio.h>

void swap(int *x, int *y)
{
        int *temp=x;
        x=y;
        y=temp;
}

int main(int argc, char const *argv[])
{
        int a=1;
        int b=2;        
        swap(&a,&b);        
        printf(""%d\n%d\n"",a,b);
        return 0;
}","1
2","2
1","1
1","2
2",1
"#include <stdio.h>

int product1(int arr[])
{
        int size=sizeof arr/sizeof arr[0];
        int p=1;
        int i;
        for(i=0;i<p;i++)
                p=p**(arr+i);
        return p;
}

int product2(int *arr)
{
        int size=sizeof arr/sizeof arr[0];
        int p=1;
        int i;
        for(i=0;i<p;i++)
                p=p**(arr+i);
        return p;
}

int main(int argc, char const *argv[])
{
        int arr[]={1,2,3,4};
        printf(""%d\n"",product1(arr));
        printf(""%d\n"",product2(arr));
        return 0;
}","1 
1","24 
1","24 
24",Compilation Error,1
"#include <stdio.h>
#include <string.h>
int main(int argc, char const *argv[])
{
        char a[20]=""ab\0ef\0ij\0"";
        int len1=strlen(a);
        int len2=sizeof a;
        printf(""%d\n%d"",len1,len2);
        return 0;
}","2 
20","2 
10","2 
12","10
20",1
"#include <stdio.h>
int f(int x)
{
        int c=0;
        while(x)
        {
                c++;
                x&=x-1;
        }
        return c;
}
int main(int argc, char const *argv[])
{
        int a=127,b=20,c=10,d=31,e=-1;
        printf(""%d %d %d %d %d"",f(a),f(b),f(c),f(d),f(e));
        return 0;
}",7 2 2 5 32,7 2 1 2 0,7 2 1 2 32,7 2 2 5 0,1
"#include <stdio.h>
int main(int argc, char const *argv[])
{
        float b=7.2;
        int a = (int)b%4*3.0/b;
        printf(""%d"",a);
        return 0;
}
",1,0,Floating point Exception,Compilation Error,1
"#include<bits/stdc++.h>
 using namespace std;
 int main()
 {
 char c[10],d[10],e[10];
 scanf(""%3s"",&e);
 scanf(""%*[abc]%6s"",&c);
 scanf(""%[^abc]"",&d);
 printf("" %s"",d);
 printf("" %s"",e);
 printf("" %s"",c);
 return 0;
 }
 // input string is abcbbcdefdefrqweatg

",rqwe abc defdef,defrgweatg abc bbcdef,defrgwe abc def,None of this,1
"#include <stdio.h>
#include <stdlib.h>
void print()
{
        printf(""HelloWorld\t"");
}

inline int* f1(int *a, int *b)
{
        int *c;
        int p=*a+*b;
        c=&p;
        return c;
}

int* f2(int *a, int *b)
{
        int *c=(int*)malloc(sizeof(int));
        *c=*a+*b;
        Return c;
}

int main(int argc, char const *argv[])
{
        int a=1;
        int b=2;
        int *p1=f1(&a,&b);
        int *p2=f2(&a,&b);
        print();
        printf(""%d\t"",*p1);
        printf(""%d\t"",*p2);
        return 0;
}",HelloWorld        Garbage value         3,HelloWorld        3        3,HelloWorld	3	Garbage value,HelloWorld        Garbage value        Garbage value,1
"//In a hypothetical situation:
//If the size of heap is 104KB & size of stack is 204KB, 
//what can be the max no of ""Hello""'s of the following C program:

#include <stdio.h>
#include <stdlib.h>
#define ll long long
char* f()
{
	char *c;
	c = (char *)malloc(5000*sizeof (char));
	if(c!=NULL)
		return ""Hello"";
	return """";
}
int main(int argc, char const *argv[])
{
	char* (*p)();
	p=f;
	int cnt=100;
	while(cnt--)
	{
		printf(""%s\n"",p());
	}
	return 0;
}
",Hello 20 times,Hello 21 times,Hello 60 times,Hello 100 times,1
"#include <stdio.h>
#define print(x) (#x))
int main(int argc, char const *argv[])
{
        int a=2;
        printf(""%s\n"",print(2+4);         
        return 0;
}",2+4,6,Compilation Error,Runtime Error,1
"#include <stdio.h>
int p;
int f(int a, int b)
{
        return a+b;
}
int main(int argc, char const *argv[])
{
        int (*p)(int, int);
        p=f;
        p=p(1,2);
        ++p;
        printf(""%d\n"", p);
        return 0;
}",4,"Compilation error at line int (*p)(int,int)","Compilation error at line p=p(1,2)",Compilation error at line ++p,1
"#include <iostream>
const int max = 65;

enum name
{
        b='A',
        c=max,
        d,
};

int main(int argc, char const *argv[])
{
        std::cout<<b<<'\t'<<c<<'\t'<<d;
        return 0;
}",65	65	66 ,65	65	Garbage Value,A   65	66 ,A   65	Garbage value,1
"#include <stdio.h>
enum en1
{
        a=1,
        b=2,
        c=3
};

enum en2
{
        b
};

int main(int argc, char const *argv[])
{
        enum en1 n1=b;
        enum en2 n2=b;
        printf(""%d\n%d"", n1,n2);
        return 0;
}",Compilation error,"2        
2","2	
0","0	
0",1
"#include <stdio.h>
#define ll long long
int main(int argc, char const *argv[])
{
        ll a=1;
        a=a<<20;
        ll c=0;
        ll cnt=0;
        for(ll i=0;i<a;i++)
        {
                ll j=i;
                c=0;
                while(j)
                {
                        c+=j&1;
                        j=j>>1;
                }
                if(c==2)
                        cnt++;
        }
        printf(""%lld\n"", cnt);
        return 0;
}",190,200,210,220,1
"#include <stdio.h>
#define f1(x) (sizeof(x)/sizeof(*x))
#define f2(x) (sizeof(x)/sizeof(typeof(*x)))
#define ll long long
int main(int argc, char const *argv[])
{
        ll arr[100];
        arr[0]=1;
        int a=f1(arr);
        int b=f2(arr);
        printf(""%d\t%d\n"",a),b;
        
        return 0;
}",100	Garbage Value,200	Garbage value,100	100,200	100,1
"#include <stdio.h>
int main(int argc, char const *argv[])
{
        typeof(sizeof(int)) i;
        i=0;
        i--;
        if(i<0)
                printf(""i is negative\t"");
        else
        {
                printf(""i is positive\t"");
                while(i--)
                        printf(""Hello\t"");
                printf(""%lu\n"",sizeof(i));        
        }
        return 0;
}",i is positive	Hello(2^64 times)	8,i is positive	Hello(2^32 times)	4,i is positive	Hello(2^32-1 times)	4,i is negative	,1
"#include <stdio.h>
#define f1(x,y) x+y+x##y--
#define f2(x) #x
int main(int argc, char const *argv[])
{
        int x=2,y=4,xy=8;
        printf(""%d\t%d\t%s\n"",f1(x,y),f1(x,y),f2(f1(x,y)));
        return 0;
}
","13        14        f1(x,y)","12	13	f1(x,y)",12	13	x+y+x##y--,13	14	x+y+x##y--	,1
"#include <iostream>
using namespace std;
#define f1(x,y) (x^=y^=x^=y)
#define f2(x,y) (y^=x^=y^=x)
int main(int argc, char const *argv[])
{
        int a=5;
        int b=10;
        int c=f1(a,b)++ + f2(a,b)++;
        cout<<a<<""\t""<<b<<""\t""<<c<<endl;
        return 0;
}","6	11	15
","7	10	15
","6	11	16
","7	10	16	
",1
"#include <stdio.h>
int arr[20];
int f1(int);
int main(int argc, char const *argv[])
{
        printf(""%d\t%d\t%d\n"",f1(1),f1(9),f1(10));
        return 0;
}
int arr[20]={1,2,3,4,5,6,7,8,9,10};

int f1(int i)
{
        return arr[i];
}","2	10	0
","0	0	0
","Compilation error
","Runtime error
",3
"#include <stdio.h>
f(char a)
{
        return a;
}
typedef struct st
{
        char a:3;
}s1;
int main()
{
        s1.a=1;
        while((s1.a))
        {
                printf(""%d\t"",f(s1.a));
                s1.a++;
        }
        return 0;
}
","1	2	3	-4	-3	-2	-1
","1	2	3
","Infinite loop
","Compilation error
",1
"#include <stdio.h>

struct st
{
        typeof(sizeof(long double)) a:3;
};
int main()
{
        struct st s1;
        s1.a=1;
        while((s1.a))
        {
                printf(""%d\t"",s1.a);
                s1.a++;
        }
        return 0;
}","1	2	3	4	5	6	7
","1	2	3	-4	-3	-2	-1
","1	2	3
","Infinite loop
",1
"#include <iostream>
#include <bitset>
using namespace std;
typedef bitset<0> b0;
typedef bitset<32> b1;
typedef bitset<64> b2;
#define f(x,y) (b##y*)(&x+1)-(b##y*)(&x)
int main(int argc, char const *argv[])
{
        long l;
        cout<<f(l,0)<<""\t""<<f(l,1)<<""\t""<<f(l,2)<<endl;
        return 0;
}","8	1	1
","Infinite	1	1
","64	1	0
","Infinite	1	0
",1
"/*
In the following code, how much heap space will be allocated due to p?
*/
#include <stdio.h>
#include <stdlib.h>
int main(int argc, char const *argv[])
{
        int *p;
        p=(int *)malloc(1000*sizeof p);
        return 0;
}","Slightly more than 8 KB
","Slightly less than 8 KB
","8 KB
","0 KB
",1
"/*
Input is:
1
2
Hello
*/
#include <bits/stdc++.h>
using namespace std;
int main(int argc, char const *argv[])
{
        int a,b;
        string s;
        char c[100];
        cin>>a>>b;
        int i=0;
        getchar();
        c[i]=getchar();
        while(c[i]!='\n')
                i++,c[i]=getchar();
        cout<<a<<b<<c;
        for(int j=0;j<=i;j++)
                cout<<c[j]<<"" "";
        cout<<""HELLO"";
        return 0;
}
","12Hello
H e l l o 
 HELLO","12ello
H e l l o HELLO","12Hello
H e l l o HELLO","12ello
H e l l o
 HELLO",1
"/*
Input is:
1        2        Hello
*/
#include <bits/stdc++.h>
using namespace std;
int main(int argc, char const *argv[])
{
        int a,b;
        string s;
        string c;
        cin>>a>>b;
        int i=0;
        getline(cin,c);
        cout<<a<<b<<c;
        cout<<""HELLO"";
        return 0;
}",12	HelloHELLO,12HelloHELLO,"12        Hello
HELLO","12Hello
HELLO",1
"which of the value get printed correctly?                                      
//----------------------------
#include<bits/stdc++.h>
using namespace std;
union abc
{
int i;
float f;
char c[20];
};
int main()
{
union abc x;
x.i=10;
x.f=20.25;
strcpy(x.c,""PRADNYA"");
printf(""%d   %f   %s"",x.i,x.f,x.c);
return 0;
}", Only i ,Only f,Only c,All,3
"#include <iostream>
        using namespace std;
class Inc 
        {
          public:
            int a;
    void f(int b) 

                    {
                            cout<< b << endl;

                    }

        };    
    int main() 
        {
            int Inc :: *ptiptr = &Inc :: a;
            void (Inc :: * ptfptr) (int) = &Inc :: f;
            Inc inc;
            inc.*ptiptr = 10;
            cout << inc.*ptiptr << endl;
            (inc.*ptfptr) (20);
        }",20 10,20,10,10 20,4
"//if the input given for a is 5 and 16
#include<bits/stdc++.h>
using namespace std;
int main()
{
int a;
printf(""%d"",scanf(""%d"",&a));
printf(""%x"",scanf(""%d"",&a));
return 0;
}",11,56,510,None ,1
"#include<bits/stdc++.h>
using namespace std;
int main()
{
int x=2;
switch(x)
{
printf(""\ninto  the switch case"");
case 2:
printf(""\nthis is 2"");
case 1:
printf(""\nthis is 1"");
case 3:
printf(""\nthis is 3"");
}
return 0;
}",this is 2," into the switch case
this is 2"," this is 2
this is 1
this is 3",Error,3
"#include<bits/stdc++.h>
using namespace std;
int main()
{
printf(""%%%%%"");
return 0;
}",%%%%, %%%%%,%%%,%%,4
"#include<bits/stdc++.h>
using namespace std;
int main()
{
float f=(456.7891,789.1234,123.4567);
printf(""\n%3.2f"",f);
printf(""\n%2.2f"",f);
return 0;
}","123.45
123.45"," 123.46
12.46","
456.78
456.78","
789.12
789.12",2
"#include<bits/stdc++.h>
using namespace std;
int main()
{
int x,y,z;
cin>>x>>y>>z;
cout<<(x>y ? (y>z ? y:x>z ? z:x ):(x>z ? x: (z>y ? y: z) ) );
return 0;
}",Error,Lowest number, Middle number,Highest number,3
"#include<bits/stdc++.h>
using namespace std;
int y=50;
class abc
{
public:
int y=10;
void test()
{
int y=30;
cout<<y<<"" ""<<::y<<endl;
}
abc * test2()
{
cout<<""TEST2 "";
return this;
}
};
int main()
{
abc *x=new abc();
x->test();
x->test2().test2().test2();
return 0;
}","30 50
 TEST2 TEST2 TEST2","30 10
 TEST2 TEST2 TEST2","10 50
 TEST2 TEST2 TEST2",Error,4
"#include<bits/stdc++.h>
using namespace std;
int main()
{
char c=-'abcd';
char d= 'zyx';
c=c+d+'0'-'$'+'\0'+'!';
printf(""%d\n"",c);
if(c)
cout<<""HELLO "";
if(c==0)
cout<<""WELCOME "";
else if((c&(c-1)))
cout<<""TO "";
else
cout<<""PICT "";
return 0;
}","60
HELLO PICT ","65
 HELLO TO "," 60
WELCOME TO ","63
HELLO TO ",2
"#include<bits/stdc++.h>
using namespace std;
#define MAXX 3
#define MAXY 4
#define MAXZ 5
int main()
{
int ***p,i,j,k;
p=(int***)malloc(MAXX*sizeof(int**));
for(int i=0;i<MAXX;i++)
{
p[i]=(int**)malloc(MAXY*sizeof(int*));
for(int j=0;j<MAXY;j++)
p[i][j]=(int*)malloc(MAXZ*sizeof(int));
}
for(int k=0;k<MAXZ;k++)
{
for(int i=0;i<MAXX;i++)
{
for(int j=0;j<MAXY;j++)
{
p[i][j][k]=i+j+k;
printf(""%d"",p[k][j][i]);
}
printf(""\n"");
}
}
return 0;
}","01234
12345
23456
34567
12345
23456
34567
45678
23456
34567
45678
56789"," 0123
0000
0000
1234
2345
0000
2345
3456","0123
1234
2345
1234
2345
3456
2345
3456
4567
3456
4567
5678
4567
5678
6789","0123
0000
0000
1234
2345
0000
2345
3456
4567

",4
Which of the following is correct?,"\n' and endl both 
clears the buffer "," '\n' clears the 
buffer while endl not","  endl clears the 
buffer while '\n' not","None of 
This",3
"#include <stdio.h>
 #define pradnya() pradnya2()
 #define pradnya2() pradnya()
 int pradnya2()
 {
 static int num =57;
 
 return num--; 
 }
 int pradnya()
 {
 static int num =12;
 pradnya2();
 return num--;
 }
 struct {
  int long long swapnil;
  int long long kapil;
 } pradnyaa1;
 struct {
  unsigned int swapnil : 1;
  char kapil : 1;
 } pradnyaa2;
 int main()
 {
 int size1=sizeof(pradnyaa1);
 
 int size2=sizeof(pradnyaa2);
 int c=size1/size2;
 
 for(pradnya();c<8; pradnya2())
  { if(pradnya2()%2==0)
  {
  printf(""%d "", pradnya());c--;
  }
  else
  printf(""%d "", pradnya2());c++;
  }
 return 0;
 }",52 11 46 10 40 9 34 8,11 52 10 46 9 40 8 34,11 51 10 42 9 39 8 34,11 51 48 10 42 9 34 8,2
"#include <stdio.h>
 #define pradnya() pradnya2()
 #define pradnya2() pradnya()
 int pradnya2()
 {
 static int num =57;
 
 return num--; 
 }
 int pradnya()
 {
 static int num =12;
 pradnya2();
 return num--;
 }
 struct {
  int long long swapnil;
  int long long kapil;
 } pradnyaa1;
 struct {
  unsigned int swapnil : 1;
  char kapil : 1;
 } pradnyaa2;
 int main()
 {
 int size1=sizeof(pradnyaa1);
 int size2=sizeof(pradnyaa2);
 int c=size1/size2;
 pradnya()^pradnya2()^pradnya()^pradnya2();
 for(pradnya();c<8; pradnya2())
 
  { if(pradnya2()%2==0)
  {
  printf(""%d "", pradnya());c--;
  }
  else
  printf(""%d "", pradnya2());c++;
  }
 return 0;
 }",9 48 6 40 6 36 6 32,9 48 8 40 7 38 8 28,9 48 8 42 7 36 6 30,9 48 8 42 5 36 6 34,3
